Sno,date,id,teamA,teamB
58,2022-10-07,1317483,Australia,West Indies
59,2022-10-07,1322334,Pakistan,Bangladesh
60,2022-10-07,1335796,Thailand,United Arab Emirates
61,2022-10-07,1335797,Pakistan,India
62,2022-10-06,1322397,Tasmania,Queensland
63,2022-10-06,1322398,Victoria,South Australia
64,2022-10-06,1327509,South Africa,India
65,2022-10-06,1334419,West Indies,New Zealand
66,2022-10-06,1335794,Pakistan,Thailand
67,2022-10-06,1335795,Bangladesh,Malaysia
68,2022-10-05,1317482,West Indies,Australia
69,2022-10-05,1334418,New Zealand,West Indies
70,2022-10-05,1335793,Malaysia,United Arab Emirates
71,2022-10-04,1327508,South Africa,India
72,2022-10-04,1335791,Sri Lanka,Thailand
73,2022-10-04,1335792,India,United Arab Emirates
74,2022-10-03,1322396,New South Wales,Western Australia
75,2022-10-03,1335789,Bangladesh,Pakistan
76,2022-10-03,1335790,India,Malaysia
77,2022-10-02,1327234,England,Pakistan
78,2022-10-02,1327507,India,South Africa
79,2022-10-02,1334417,West Indies,New Zealand
80,2022-10-02,1335787,Malaysia,Pakistan
81,2022-10-02,1335788,Sri Lanka,United Arab Emirates
82,2022-10-01,1334416,West Indies,New Zealand
83,2022-10-01,1335785,Thailand,Bangladesh
84,2022-10-01,1335786,India,Sri Lanka
85,2022-09-30,1323177,Barbados Royals,Jamaica Tallawahs
86,2022-09-30,1327233,Pakistan,England
87,2022-09-28,1323176,Jamaica Tallawahs,Guyana Amazon Warriors
88,2022-09-28,1327232,Pakistan,England
89,2022-09-28,1327506,South Africa,India
90,2022-09-28,1334415,West Indies,New Zealand
91,2022-09-27,1323174,Barbados Royals,Guyana Amazon Warriors
92,2022-09-27,1323175,Jamaica Tallawahs,St Lucia Kings
93,2022-09-27,1336032,Bangladesh,United Arab Emirates
94,2022-09-26,1297785,Somerset,Kent
95,2022-09-26,1297786,Worcestershire,Middlesex
96,2022-09-26,1297787,Glamorgan,Sussex
97,2022-09-26,1297788,Nottinghamshire,Durham
98,2022-09-26,1297789,Leicestershire,Derbyshire
99,2022-09-26,1297790,Gloucestershire,Yorkshire
100,2022-09-26,1297791,Warwickshire,Hampshire
101,2022-09-26,1297792,Lancashire,Surrey
102,2022-09-26,1297793,Essex,Northamptonshire
103,2022-09-25,1297956,Northern Diamonds,Southern Vipers
104,2022-09-25,1323173,Barbados Royals,Guyana Amazon Warriors
105,2022-09-25,1327231,Pakistan,England
106,2022-09-25,1327505,Australia,India
107,2022-09-25,1331400,Zimbabwe,Thailand
108,2022-09-25,1331401,Bangladesh,Ireland
109,2022-09-25,1331402,United States of America,United Arab Emirates
110,2022-09-25,1331403,Scotland,Papua New Guinea
111,2022-09-25,1334414,New Zealand,West Indies
112,2022-09-25,1336031,Bangladesh,United Arab Emirates
113,2022-09-24,1301339,India,England
114,2022-09-24,1323171,Guyana Amazon Warriors,Trinbago Knight Riders
115,2022-09-23,1327230,England,Pakistan
116,2022-09-23,1327504,Australia,India
117,2022-09-23,1331396,Ireland,Zimbabwe
118,2022-09-23,1331397,Scotland,United Arab Emirates
119,2022-09-23,1331398,Bangladesh,Thailand
120,2022-09-23,1331399,United States of America,Papua New Guinea
121,2022-09-22,1323169,St Kitts and Nevis Patriots,Trinbago Knight Riders
122,2022-09-22,1323170,St Lucia Kings,Guyana Amazon Warriors
123,2022-09-22,1327229,England,Pakistan
124,2022-09-22,1332510,Tanzania,Uganda
125,2022-09-22,1334413,West Indies,New Zealand
126,2022-09-21,1297955,South East Stars,Southern Vipers
127,2022-09-21,1301338,India,England
128,2022-09-21,1323167,Barbados Royals,St Kitts and Nevis Patriots
129,2022-09-21,1323168,Guyana Amazon Warriors,Jamaica Tallawahs
130,2022-09-21,1331370,Namibia,Papua New Guinea
131,2022-09-21,1331392,Bangladesh,United States of America
132,2022-09-21,1331394,Ireland,Scotland
133,2022-09-21,1331395,Zimbabwe,United Arab Emirates
134,2022-09-21,1332508,Kenya,Uganda
135,2022-09-21,1332509,Botswana,Tanzania
136,2022-09-20,1297776,Surrey,Yorkshire
137,2022-09-20,1297777,Warwickshire,Gloucestershire
138,2022-09-20,1297778,Somerset,Northamptonshire
139,2022-09-20,1297779,Sussex,Durham
140,2022-09-20,1297780,Glamorgan,Derbyshire
141,2022-09-20,1297781,Middlesex,Leicestershire
142,2022-09-20,1297782,Worcestershire,Nottinghamshire
143,2022-09-20,1297783,Lancashire,Essex
144,2022-09-20,1297784,Kent,Hampshire
145,2022-09-20,1327228,Pakistan,England
146,2022-09-20,1327503,India,Australia
147,2022-09-20,1331369,Namibia,Papua New Guinea
148,2022-09-20,1332505,Tanzania,Malawi
149,2022-09-19,1331388,Thailand,Zimbabwe
150,2022-09-19,1331389,Scotland,Bangladesh
151,2022-09-19,1331390,Papua New Guinea,United Arab Emirates
152,2022-09-19,1331391,United States of America,Ireland
153,2022-09-19,1332504,Botswana,Mozambique
154,2022-09-19,1332506,Cameroon,Kenya
155,2022-09-19,1334412,West Indies,New Zealand
156,2022-09-18,1297951,Thunder,Western Storm
157,2022-09-18,1301337,England,India
158,2022-09-18,1323165,Barbados Royals,Guyana Amazon Warriors
159,2022-09-18,1323166,St Lucia Kings,Trinbago Knight Riders
160,2022-09-18,1331384,United Arab Emirates,Thailand
161,2022-09-18,1331385,Bangladesh,Ireland
162,2022-09-18,1331386,Papua New Guinea,Zimbabwe
163,2022-09-18,1331387,Scotland,United States of America
164,2022-09-18,1332503,Uganda,Mozambique
165,2022-09-18,1332507,Botswana,Ghana
166,2022-09-17,1297952,Southern Vipers,Northern Diamonds
167,2022-09-17,1297953,Central Sparks,Sunrisers
168,2022-09-17,1297954,South East Stars,Lightning
169,2022-09-17,1323163,St Lucia Kings,St Kitts and Nevis Patriots
170,2022-09-17,1323164,Jamaica Tallawahs,Trinbago Knight Riders
171,2022-09-17,1331368,Namibia,United States of America
172,2022-09-17,1332497,Kenya,Tanzania
173,2022-09-17,1332501,Ghana,Uganda
174,2022-09-16,1332498,Ghana,Mozambique
175,2022-09-15,1301336,India,England
176,2022-09-15,1323162,Barbados Royals,Jamaica Tallawahs
177,2022-09-15,1331367,Namibia,United States of America
178,2022-09-15,1332496,Botswana,Uganda
179,2022-09-15,1333928,Fiji,Samoa
180,2022-09-15,1333929,Vanuatu,Cook Islands
181,2022-09-14,1323160,Jamaica Tallawahs,St Kitts and Nevis Patriots
182,2022-09-14,1323161,Trinbago Knight Riders,Guyana Amazon Warriors
183,2022-09-14,1333926,Samoa,Vanuatu
184,2022-09-14,1333927,Fiji,Cook Islands
185,2022-09-13,1301335,England,India
186,2022-09-13,1323159,Trinbago Knight Riders,Barbados Royals
187,2022-09-13,1329250,United States of America,United Arab Emirates
188,2022-09-13,1331366,Papua New Guinea,United States of America
189,2022-09-13,1333924,Samoa,Cook Islands
190,2022-09-13,1333925,Vanuatu,Fiji
191,2022-09-12,1297770,Yorkshire,Essex
192,2022-09-12,1297771,Sussex,Worcestershire
193,2022-09-12,1297772,Leicestershire,Durham
194,2022-09-12,1297773,Northamptonshire,Surrey
195,2022-09-12,1297774,Somerset,Warwickshire
196,2022-09-12,1297775,Glamorgan,Middlesex
197,2022-09-12,1329247,Zimbabwe,United Arab Emirates
198,2022-09-11,1297947,Thunder,Southern Vipers
199,2022-09-11,1297948,South East Stars,Central Sparks
200,2022-09-11,1297949,Lightning,Sunrisers
201,2022-09-11,1297950,Northern Diamonds,Western Storm
202,2022-09-11,1317481,Australia,New Zealand
203,2022-09-11,1323157,Jamaica Tallawahs,Barbados Royals
204,2022-09-11,1323158,St Lucia Kings,St Kitts and Nevis Patriots
205,2022-09-11,1327281,Sri Lanka,Pakistan
206,2022-09-11,1331365,United States of America,Papua New Guinea
207,2022-09-11,1333922,Vanuatu,Cook Islands
208,2022-09-11,1333923,Samoa,Fiji
209,2022-09-10,1301334,India,England
210,2022-09-10,1323155,Jamaica Tallawahs,Trinbago Knight Riders
211,2022-09-10,1323156,St Lucia Kings,Guyana Amazon Warriors
212,2022-09-10,1333920,Cook Islands,Fiji
213,2022-09-10,1333921,Samoa,Vanuatu
214,2022-09-09,1327280,Pakistan,Sri Lanka
215,2022-09-08,1276918,South Africa,England
216,2022-09-08,1317480,Australia,New Zealand
217,2022-09-08,1323153,Guyana Amazon Warriors,St Kitts and Nevis Patriots
218,2022-09-08,1323154,St Lucia Kings,Barbados Royals
219,2022-09-08,1327279,India,Afghanistan
220,2022-09-07,1323151,Barbados Royals,Trinbago Knight Riders
221,2022-09-07,1323152,Jamaica Tallawahs,St Lucia Kings
222,2022-09-07,1327278,Afghanistan,Pakistan
223,2022-09-06,1317479,New Zealand,Australia
224,2022-09-06,1327277,India,Sri Lanka
225,2022-09-06,1330808,Scotland,Ireland
226,2022-09-05,1297763,Nottinghamshire,Leicestershire
227,2022-09-05,1297764,Worcestershire,Glamorgan
228,2022-09-05,1297765,Derbyshire,Durham
229,2022-09-05,1297766,Gloucestershire,Somerset
230,2022-09-05,1297767,Lancashire,Yorkshire
231,2022-09-05,1297768,Essex,Kent
232,2022-09-05,1297769,Hampshire,Northamptonshire
233,2022-09-05,1330807,Scotland,Ireland
234,2022-09-04,1323149,Barbados Royals,St Lucia Kings
235,2022-09-04,1323181,Trinbago Knight Riders,Barbados Royals
236,2022-09-04,1327276,India,Pakistan
237,2022-09-03,1299170,Southern Brave,Oval Invincibles
238,2022-09-03,1299204,Manchester Originals,Trent Rockets
239,2022-09-03,1317478,Australia,Zimbabwe
240,2022-09-03,1323147,Guyana Amazon Warriors,Jamaica Tallawahs
241,2022-09-03,1323180,Guyana Amazon Warriors,Barbados Royals
242,2022-09-03,1327275,Afghanistan,Sri Lanka
243,2022-09-02,1299169,Southern Brave,Trent Rockets
244,2022-09-02,1299203,London Spirit,Manchester Originals
245,2022-09-02,1327274,Pakistan,Hong Kong
246,2022-09-01,1323145,St Lucia Kings,Trinbago Knight Riders
247,2022-09-01,1323146,St Kitts and Nevis Patriots,Barbados Royals
248,2022-09-01,1323179,Trinbago Knight Riders,Guyana Amazon Warriors
249,2022-09-01,1327273,Bangladesh,Sri Lanka
250,2022-08-31,1299167,Northern Superchargers,Southern Brave
251,2022-08-31,1299168,Oval Invincibles,Manchester Originals
252,2022-08-31,1299201,Northern Superchargers,Southern Brave
253,2022-08-31,1299202,Oval Invincibles,Manchester Originals
254,2022-08-31,1317477,Zimbabwe,Australia
255,2022-08-31,1323144,Jamaica Tallawahs,St Kitts and Nevis Patriots
256,2022-08-31,1323178,Trinbago Knight Riders,Barbados Royals
257,2022-08-31,1327272,India,Hong Kong
258,2022-08-30,1298031,Hampshire,Kent
259,2022-08-30,1298032,Lancashire,Sussex
260,2022-08-30,1299166,Birmingham Phoenix,London Spirit
261,2022-08-30,1299200,London Spirit,Birmingham Phoenix
262,2022-08-30,1327271,Bangladesh,Afghanistan
263,2022-08-30,1328478,Nepal,Kenya
264,2022-08-29,1299165,Welsh Fire,Trent Rockets
265,2022-08-29,1299199,Trent Rockets,Welsh Fire
266,2022-08-29,1328477,Kenya,Nepal
267,2022-08-28,1299164,Manchester Originals,Birmingham Phoenix
268,2022-08-28,1299198,Manchester Originals,Birmingham Phoenix
269,2022-08-28,1317476,Zimbabwe,Australia
270,2022-08-28,1327270,Pakistan,India
271,2022-08-28,1328476,Kenya,Nepal
272,2022-08-27,1299163,London Spirit,Oval Invincibles
273,2022-08-27,1299197,London Spirit,Oval Invincibles
274,2022-08-27,1327269,Sri Lanka,Afghanistan
275,2022-08-26,1298029,Nottinghamshire,Lancashire
276,2022-08-26,1298030,Kent,Leicestershire
277,2022-08-26,1299162,Welsh Fire,Northern Superchargers
278,2022-08-26,1299196,Welsh Fire,Northern Superchargers
279,2022-08-26,1328487,Netherlands,Ireland
280,2022-08-25,1276917,South Africa,England
281,2022-08-25,1299161,Trent Rockets,Southern Brave
282,2022-08-25,1299195,Trent Rockets,Southern Brave
283,2022-08-25,1328474,Kenya,Nepal
284,2022-08-24,1299160,Welsh Fire,London Spirit
285,2022-08-24,1299194,London Spirit,Welsh Fire
286,2022-08-24,1328486,Ireland,Netherlands
287,2022-08-24,1328853,Singapore,Kuwait
288,2022-08-24,1328854,United Arab Emirates,Hong Kong
289,2022-08-23,1298021,Lancashire,Kent
290,2022-08-23,1298022,Durham,Leicestershire
291,2022-08-23,1298023,Northamptonshire,Derbyshire
292,2022-08-23,1298024,Surrey,Nottinghamshire
293,2022-08-23,1298025,Sussex,Middlesex
294,2022-08-23,1298026,Somerset,Warwickshire
295,2022-08-23,1298027,Glamorgan,Worcestershire
296,2022-08-23,1298028,Hampshire,Yorkshire
297,2022-08-23,1299159,Birmingham Phoenix,Oval Invincibles
298,2022-08-23,1299193,Birmingham Phoenix,Oval Invincibles
299,2022-08-23,1328852,Kuwait,Hong Kong
300,2022-08-22,1299158,Southern Brave,Welsh Fire
301,2022-08-22,1299192,Welsh Fire,Southern Brave
302,2022-08-22,1325551,India,Zimbabwe
303,2022-08-22,1328485,Netherlands,Ireland
304,2022-08-22,1328851,United Arab Emirates,Singapore
305,2022-08-21,1298017,Derbyshire,Yorkshire
306,2022-08-21,1298018,Essex,Hampshire
307,2022-08-21,1298019,Middlesex,Gloucestershire
308,2022-08-21,1298020,Warwickshire,Durham
309,2022-08-21,1299157,Manchester Originals,Northern Superchargers
310,2022-08-21,1299191,Manchester Originals,Northern Superchargers
311,2022-08-21,1311739,Pakistan,Netherlands
312,2022-08-21,1317913,West Indies,New Zealand
313,2022-08-21,1328850,United Arab Emirates,Kuwait
314,2022-08-20,1298016,Nottinghamshire,Leicestershire
315,2022-08-20,1299156,Trent Rockets,London Spirit
316,2022-08-20,1299190,London Spirit,Trent Rockets
317,2022-08-20,1325550,Zimbabwe,India
318,2022-08-20,1328849,Hong Kong,Singapore
319,2022-08-19,1298009,Hampshire,Glamorgan
320,2022-08-19,1298010,Yorkshire,Kent
321,2022-08-19,1298011,Northamptonshire,Lancashire
322,2022-08-19,1298012,Middlesex,Warwickshire
323,2022-08-19,1298013,Sussex,Somerset
324,2022-08-19,1298014,Surrey,Gloucestershire
325,2022-08-19,1298015,Essex,Worcestershire
326,2022-08-19,1299155,Birmingham Phoenix,Northern Superchargers
327,2022-08-19,1299189,Northern Superchargers,Birmingham Phoenix
328,2022-08-19,1317912,New Zealand,West Indies
329,2022-08-18,1299154,Southern Brave,Manchester Originals
330,2022-08-18,1299188,Manchester Originals,Southern Brave
331,2022-08-18,1311738,Netherlands,Pakistan
332,2022-08-18,1325549,Zimbabwe,India
333,2022-08-17,1276916,England,South Africa
334,2022-08-17,1298002,Durham,Sussex
335,2022-08-17,1298003,Essex,Yorkshire
336,2022-08-17,1298004,Glamorgan,Lancashire
337,2022-08-17,1298005,Gloucestershire,Leicestershire
338,2022-08-17,1298006,Northamptonshire,Worcestershire
339,2022-08-17,1298007,Surrey,Somerset
340,2022-08-17,1298008,Warwickshire,Nottinghamshire
341,2022-08-17,1299153,Trent Rockets,Oval Invincibles
342,2022-08-17,1299187,Trent Rockets,Oval Invincibles
343,2022-08-17,1307163,Afghanistan,Ireland
344,2022-08-17,1317911,New Zealand,West Indies
345,2022-08-17,1322041,Scotland,United States of America
346,2022-08-17,1328473,Kuwait,Bahrain
347,2022-08-16,1299152,Manchester Originals,Welsh Fire
348,2022-08-16,1299186,Manchester Originals,Welsh Fire
349,2022-08-16,1311737,Pakistan,Netherlands
350,2022-08-15,1299151,Trent Rockets,Birmingham Phoenix
351,2022-08-15,1299185,Trent Rockets,Birmingham Phoenix
352,2022-08-15,1307162,Afghanistan,Ireland
353,2022-08-14,1297993,Essex,Glamorgan
354,2022-08-14,1297994,Lancashire,Hampshire
355,2022-08-14,1297995,Northamptonshire,Kent
356,2022-08-14,1297996,Leicestershire,Warwickshire
357,2022-08-14,1297997,Durham,Nottinghamshire
358,2022-08-14,1297998,Somerset,Middlesex
359,2022-08-14,1297999,Sussex,Surrey
360,2022-08-14,1298000,Derbyshire,Worcestershire
361,2022-08-14,1299149,Northern Superchargers,London Spirit
362,2022-08-14,1299150,Southern Brave,Oval Invincibles
363,2022-08-14,1299183,Northern Superchargers,London Spirit
364,2022-08-14,1299184,Southern Brave,Oval Invincibles
365,2022-08-14,1317910,New Zealand,West Indies
366,2022-08-14,1322039,Scotland,United Arab Emirates
367,2022-08-14,1326870,Jersey,Kenya
368,2022-08-14,1328471,Bahrain,Kuwait
369,2022-08-13,1299147,Trent Rockets,Manchester Originals
370,2022-08-13,1299148,Birmingham Phoenix,Welsh Fire
371,2022-08-13,1299181,Manchester Originals,Trent Rockets
372,2022-08-13,1299182,Birmingham Phoenix,Welsh Fire
373,2022-08-13,1322038,United States of America,Scotland
374,2022-08-13,1326869,Jersey,Italy
375,2022-08-13,1328470,Kuwait,Bahrain
376,2022-08-12,1297987,Derbyshire,Hampshire
377,2022-08-12,1297988,Gloucestershire,Durham
378,2022-08-12,1297989,Leicestershire,Somerset
379,2022-08-12,1297990,Glamorgan,Northamptonshire
380,2022-08-12,1297991,Middlesex,Nottinghamshire
381,2022-08-12,1297992,Warwickshire,Sussex
382,2022-08-12,1299146,London Spirit,Southern Brave
383,2022-08-12,1299180,London Spirit,Southern Brave
384,2022-08-12,1307161,Afghanistan,Ireland
385,2022-08-12,1317909,New Zealand,West Indies
386,2022-08-11,1297986,Essex,Kent
387,2022-08-11,1299145,Northern Superchargers,Oval Invincibles
388,2022-08-11,1299179,Northern Superchargers,Oval Invincibles
389,2022-08-11,1307160,Afghanistan,Ireland
390,2022-08-11,1322037,United Arab Emirates,United States of America
391,2022-08-11,1326867,Bermuda,Kenya
392,2022-08-10,1297981,Yorkshire,Glamorgan
393,2022-08-10,1297982,Nottinghamshire,Gloucestershire
394,2022-08-10,1297983,Worcestershire,Lancashire
395,2022-08-10,1297984,Middlesex,Surrey
396,2022-08-10,1297985,Durham,Somerset
397,2022-08-10,1299178,Birmingham Phoenix,Southern Brave
398,2022-08-10,1317908,New Zealand,West Indies
399,2022-08-10,1322036,Scotland,United Arab Emirates
400,2022-08-10,1323294,Bangladesh,Zimbabwe
401,2022-08-10,1326864,Kenya,Uganda
402,2022-08-10,1326865,Hong Kong,Jersey
403,2022-08-09,1297980,Hampshire,Northamptonshire
404,2022-08-09,1299177,Northern Superchargers,Trent Rockets
405,2022-08-09,1307159,Afghanistan,Ireland
406,2022-08-08,1299176,London Spirit,Manchester Originals
407,2022-08-07,1289273,England,New Zealand
408,2022-08-07,1289274,Australia,India
409,2022-08-07,1297972,Durham,Middlesex
410,2022-08-07,1297973,Somerset,Gloucestershire
411,2022-08-07,1297974,Hampshire,Kent
412,2022-08-07,1297975,Lancashire,Derbyshire
413,2022-08-07,1297976,Essex,Northamptonshire
414,2022-08-07,1297977,Warwickshire,Surrey
415,2022-08-07,1297978,Leicestershire,Sussex
416,2022-08-07,1297979,Worcestershire,Yorkshire
417,2022-08-07,1299175,Oval Invincibles,Welsh Fire
418,2022-08-07,1317907,India,West Indies
419,2022-08-07,1323293,Bangladesh,Zimbabwe
420,2022-08-07,1326860,Italy,Uganda
421,2022-08-06,1289271,India,England
422,2022-08-06,1289272,New Zealand,Australia
423,2022-08-06,1299174,Birmingham Phoenix,Trent Rockets
424,2022-08-06,1317906,India,West Indies
425,2022-08-06,1326350,Qatar,Malaysia
426,2022-08-06,1326351,Vanuatu,Singapore
427,2022-08-05,1297969,Derbyshire,Essex
428,2022-08-05,1297970,Hampshire,Worcestershire
429,2022-08-05,1297971,Sussex,Gloucestershire
430,2022-08-05,1299173,Manchester Originals,Northern Superchargers
431,2022-08-05,1303316,South Africa,Ireland
432,2022-08-05,1310902,Netherlands,New Zealand
433,2022-08-05,1323292,Bangladesh,Zimbabwe
434,2022-08-05,1326348,Canada,Vanuatu
435,2022-08-05,1326349,Denmark,Malaysia
436,2022-08-05,1326859,Uganda,Jersey
437,2022-08-04,1289269,Sri Lanka,South Africa
438,2022-08-04,1289270,New Zealand,England
439,2022-08-04,1297964,Durham,Surrey
440,2022-08-04,1297965,Kent,Glamorgan
441,2022-08-04,1297966,Leicestershire,Middlesex
442,2022-08-04,1297967,Somerset,Nottinghamshire
443,2022-08-04,1297968,Yorkshire,Lancashire
444,2022-08-04,1299172,London Spirit,Oval Invincibles
445,2022-08-04,1310901,New Zealand,Netherlands
446,2022-08-04,1326857,Italy,Bermuda
447,2022-08-03,1289267,Australia,Pakistan
448,2022-08-03,1289268,India,Barbados
449,2022-08-03,1299171,Welsh Fire,Southern Brave
450,2022-08-03,1303315,South Africa,Ireland
451,2022-08-03,1326346,Denmark,Singapore
452,2022-08-03,1326347,Canada,Qatar
453,2022-08-02,1289265,England,South Africa
454,2022-08-02,1289266,New Zealand,Sri Lanka
455,2022-08-02,1297957,Derbyshire,Glamorgan
456,2022-08-02,1297958,Gloucestershire,Warwickshire
457,2022-08-02,1297960,Nottinghamshire,Sussex
458,2022-08-02,1297961,Surrey,Leicestershire
459,2022-08-02,1297962,Worcestershire,Kent
460,2022-08-02,1297963,Yorkshire,Northamptonshire
461,2022-08-02,1317905,West Indies,India
462,2022-08-02,1323297,Zimbabwe,Bangladesh
463,2022-08-02,1326344,Malaysia,Singapore
464,2022-08-01,1317904,India,West Indies
465,2022-07-31,1276915,South Africa,England
466,2022-07-31,1289263,Pakistan,India
467,2022-07-31,1289264,Barbados,Australia
468,2022-07-31,1307479,Scotland,New Zealand
469,2022-07-31,1321301,Bulgaria,Czech Republic
470,2022-07-31,1321302,Guernsey,France
471,2022-07-31,1321303,Luxembourg,Switzerland
472,2022-07-31,1321304,Norway,Austria
473,2022-07-31,1323296,Zimbabwe,Bangladesh
474,2022-07-31,1326342,Canada,Malaysia
475,2022-07-31,1326343,Denmark,Qatar
476,2022-07-30,1289261,New Zealand,South Africa
477,2022-07-30,1289262,Sri Lanka,England
478,2022-07-30,1321298,Switzerland,Czech Republic
479,2022-07-30,1321299,Luxembourg,Slovenia
480,2022-07-30,1323295,Zimbabwe,Bangladesh
481,2022-07-30,1326340,Denmark,Vanuatu
482,2022-07-30,1326341,Singapore,Canada
483,2022-07-29,1289259,India,Australia
484,2022-07-29,1289260,Barbados,Pakistan
485,2022-07-29,1307478,New Zealand,Scotland
486,2022-07-29,1317903,India,West Indies
487,2022-07-28,1276914,South Africa,England
488,2022-07-28,1321293,Norway,Switzerland
489,2022-07-28,1321294,Luxembourg,Bulgaria
490,2022-07-28,1321295,Czech Republic,Estonia
491,2022-07-28,1321296,Slovenia,Guernsey
492,2022-07-28,1326338,Singapore,Qatar
493,2022-07-27,1276913,England,South Africa
494,2022-07-27,1307477,New Zealand,Scotland
495,2022-07-27,1317902,India,West Indies
496,2022-07-27,1321289,Guernsey,Austria
497,2022-07-27,1321290,Switzerland,Estonia
498,2022-07-27,1321291,Slovenia,Bulgaria
499,2022-07-27,1321292,France,Norway
500,2022-07-26,1297762,Nottinghamshire,Sussex
501,2022-07-25,1297755,Lancashire,Kent
502,2022-07-25,1297756,Derbyshire,Worcestershire
503,2022-07-25,1297757,Durham,Middlesex
504,2022-07-25,1297758,Essex,Somerset
505,2022-07-25,1297759,Yorkshire,Hampshire
506,2022-07-25,1297760,Gloucestershire,Northamptonshire
507,2022-07-25,1297761,Warwickshire,Surrey
508,2022-07-25,1301333,England,South Africa
509,2022-07-25,1321286,Austria,Slovenia
510,2022-07-25,1321287,France,Switzerland
511,2022-07-25,1321288,Guernsey,Luxembourg
512,2022-07-24,1276912,South Africa,England
513,2022-07-24,1317901,West Indies,India
514,2022-07-24,1320954,Sri Lanka,Pakistan
515,2022-07-24,1321281,Austria,Luxembourg
516,2022-07-24,1321282,Estonia,Norway
517,2022-07-24,1321283,Guernsey,Bulgaria
518,2022-07-24,1321284,France,Czech Republic
519,2022-07-23,1297939,Southern Vipers,Sunrisers
520,2022-07-23,1297940,South East Stars,Western Storm
521,2022-07-23,1297941,Thunder,Central Sparks
522,2022-07-23,1297942,Lightning,Northern Diamonds
523,2022-07-23,1301332,South Africa,England
524,2022-07-23,1317639,Pakistan,Australia
525,2022-07-22,1276911,England,South Africa
526,2022-07-22,1303314,Ireland,New Zealand
527,2022-07-22,1317900,India,West Indies
528,2022-07-21,1301331,South Africa,England
529,2022-07-21,1317638,Australia,Ireland
530,2022-07-20,1297754,Leicestershire,Glamorgan
531,2022-07-20,1303313,New Zealand,Ireland
532,2022-07-19,1276910,South Africa,England
533,2022-07-19,1297747,Hampshire,Gloucestershire
534,2022-07-19,1297748,Somerset,Yorkshire
535,2022-07-19,1297749,Essex,Surrey
536,2022-07-19,1297750,Kent,Warwickshire
537,2022-07-19,1297751,Nottinghamshire,Derbyshire
538,2022-07-19,1297752,Sussex,Middlesex
539,2022-07-19,1297753,Northamptonshire,Lancashire
540,2022-07-19,1317637,Pakistan,Ireland
541,2022-07-19,1321277,Serbia,Croatia
542,2022-07-19,1321278,Finland,Cyprus
