Ov,T,S,Sv
15.4,"Wide Carlos Brathwaite to Nicholas Pooran. Half volley, down leg side on the back foot glancing, Play and Miss (Leg Side) for 1 run, fielded by Erasmus.",Wide,wd
15.5,"Carlos Brathwaite to Nicholas Pooran. Half volley, down leg side on the back foot working, to deep mid wicket for 1 run, fielded by Hetmyer.",One run,1
15.6,"Carlos Brathwaite to Kieron Pollard. Short, outside off stump on the back foot pulling, to deep square leg for 1 run, fielded by Khan.",One run,1
16.0,Over 16. 15 runs. Bowler: Carlos Brathwaite. MI Emirates: 126/4(rr 7.88),End of over,
16.1,"SIX! Chris Jordan to Kieron Pollard. Length ball, outside off stump on the front foot Slog, well timed in the air under control over long on for 6 runs.",Six runs,6
16.2,"Chris Jordan to Kieron Pollard. Length ball, outside off stump moves in front driving, mis-timed to long off for 1 run, fielded by Wiese.",One run,1
16.3,"Chris Jordan to Nicholas Pooran. Half volley, down leg side on the front foot glancing, hit pad for no runs, run save by Erasmus.",Dot ball,0
16.4,"Chris Jordan to Nicholas Pooran. Half volley, middle stump on the front foot defending, back to bowler for no runs.",Dot ball,0
16.5,"Chris Jordan to Nicholas Pooran. Off cutter back of a length, down leg side on the back foot pulling, missed for no runs, fielded by Erasmus.",Dot ball,0
16.5,"Wide Chris Jordan to Nicholas Pooran. Full toss, down leg side on the back foot glancing, Play and Miss (Leg Side) for 1 run, fielded by Erasmus.",Wide,wd
16.5,"Wide Chris Jordan to Nicholas Pooran. Off cutter length ball, down leg side on the front foot glancing, Play and Miss (Leg Side) for 1 run, fielded by Erasmus.",Wide,wd
16.6,"Chris Jordan to Nicholas Pooran. Length ball, outside off stump on the front foot driving, well timed to deep cover for 1 run, fielded by de Grandhomme.",One run,1
17.0,Over 17. 10 runs. Bowler: Chris Jordan. MI Emirates: 136/4(rr 8.00),End of over,
17.1,"David Wiese to Nicholas Pooran. Half volley, off stump on the front foot driving, well timed in the air under control to long off for 1 run, run save by Brathwaite.",One run,1
17.2,"David Wiese to Kieron Pollard. Length ball, outside off stump on the front foot working, to deep square leg for 1 run, fielded by Khan.",One run,1
17.3,"OUT! Caught. David Wiese to Nicholas Pooran. Off cutter back of a length, middle stump on the back foot pulling, mis-timed in the air uncontrolled to long on, caught by Jordan. Wiese picks up his second.",Wicket,W
17.4,"David Wiese to Dwayne Bravo. Half volley, middle stump on the front foot flick, missed to deep backward square leg for 1 run, fielded by Hetmyer.",One run,1
17.5,"David Wiese to Kieron Pollard. Slower ball back of a length, outside off stump on the back foot working, to deep square leg for 2 runs, shy attempt by Hetmyer.",Two runs,2
17.6,"David Wiese to Kieron Pollard. Full toss, middle stump on the front foot flick, to deep square leg for 1 run, fielded by Hetmyer.",One run,1
18.0,Over 18. 6 runs. Bowler: David Wiese. MI Emirates: 142/5(rr 7.89),End of over,
18.1,"Carlos Brathwaite to Kieron Pollard. Length ball, outside off stump deep in crease Slog, to mid wicket for no runs, fielded by Sharma.",Dot ball,0
18.2,"SIX! Carlos Brathwaite to Kieron Pollard. Length ball, outside off stump on the front foot Slog, well timed in the air under control over deep mid wicket for 6 runs.",Six runs,6
18.3,"Carlos Brathwaite to Kieron Pollard. Length ball, outside off stump on the front foot driving, mis-timed in the air uncontrolled to deep backward point for 2 runs, fielded by Vince.",Two runs,2
18.4,"Wide Carlos Brathwaite to Kieron Pollard. Short, outside off stump moves in front pulling, missed for 1 run, fielded by Erasmus.",Wide,wd
18.4,"Carlos Brathwaite to Kieron Pollard. Full toss, wide outside off stump deep in crease driving, inside edge to fine leg for 2 runs, fielded by Erasmus.",Two runs,2
18.5,"Carlos Brathwaite to Kieron Pollard. Length ball, outside off stump deep in crease driving, to long off for no runs, fielded by Wiese.",Dot ball,0
18.6,"FOUR! Carlos Brathwaite to Kieron Pollard. Length ball, outside off stump deep in crease Slog, well timed in the air under control past deep mid wicket for 4 runs.",Four runs,4
19.0,Over 19. 15 runs. Bowler: Carlos Brathwaite. MI Emirates: 157/5(rr 8.26),End of over,
19.1,"Chris Jordan to Dwayne Bravo. Off cutter back of a length, outside off stump on the back foot pulling, to deep backward square leg for 1 run, fielded by Kamawal.",One run,1
19.2,"Wide Chris Jordan to Kieron Pollard. Length ball, down leg side no foot movement Leave, Left for 1 run, run save by Erasmus.",Wide,wd
19.2,"Chris Jordan to Kieron Pollard. Full toss, outside off stump deep in crease Slog, mis-timed to deep mid wicket for 2 runs, fielded by Kamawal.",Two runs,2
19.3,"Chris Jordan to Kieron Pollard. Full toss, outside off stump deep in crease Slog, missed for no runs, fielded by Erasmus.",Dot ball,0
19.4,"Chris Jordan to Kieron Pollard. Length ball, outside off stump deep in crease Slog, mis-timed to mid on for no runs, fielded by Vince.",Dot ball,0
19.5,"FOUR! Chris Jordan to Kieron Pollard. Length ball, middle stump deep in crease flick, well timed in the air under control past fine leg for 4 runs.",Four runs,4
19.6,"Chris Jordan to Kieron Pollard. Full toss, outside off stump deep in crease Slog, mis-timed in the air uncontrolled to deep mid wicket for 2 runs, fielded by Hetmyer, shy attempt by Erasmus. MI Emirates innings come to a close with a total of 167-5. Kieron Pollard played a sensible knock of 57. Chris Jordan and David Wiese picked up two wickets each for Gulf Giants. Can Gulf Giants chase this down and enter the finals? Do join us for the run chase in a while.",Two runs,2
20.0,Over 20. 10 runs. Bowler: Chris Jordan. MI Emirates: 167/5(rr 8.35),End of over,
