PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,7,Pakistan,5,New Zealand,1st innings,0,"<b>dropped</b> by the bowler! It's a tough chance, demanding that he go the wrong way to his follow through and dive to his right. Again, the ball seems to hold up just a bit when it's pitched up and Rizwan, looking to drive down the ground and on the up, is nearly done.","Duffy to Mohammad Rizwan, no run",20/1,547766,Jacob Duffy,0,10,1,1.4,9,539548,Scott Kuggeleijn,0,6,0,1.0,4,323389,Mohammad Rizwan,17,16,3,0,1168651,Haider Ali,3,4,0,0,4,False,0,0,0,0,0,4,4,2,False,,False,False,5.45,0,22,0,1,0,1,1,0,20
out,7,Pakistan,5,New Zealand,1st innings,0,"<b>taken by one of two short covers</b>! Oh this is great bowling. This is a sign of a domestic player in top form. Duffy captains Otago. He's been around for years and years. And the moment he sees a batsman charging at him, he drags his line wide, hiding the ball from his reach. Rizwan still tries to reach for the ball and only toe-ends it to the straighter fielder Phillips","Duffy to Mohammad Rizwan, OUT",20/2,547766,Jacob Duffy,0,11,2,1.5,9,539548,Scott Kuggeleijn,0,6,0,1.0,4,323389,Mohammad Rizwan,17,17,3,0,1168651,Haider Ali,3,4,0,0,5,False,0,0,0,0,0,4,4,2,True,caught,False,Mohammad Rizwan c Phillips b Duffy 17 (16m 17b 3x4 0x6) SR: 100.00,5.21,0,23,0,2,0,1,1,0,20
out,7,Pakistan,5,New Zealand,1st innings,0,<b>taken at mid-on</b>! Eish! He's skittish against the bounce. But he goes for the pull nonetheless. The fact that he hasn't put everything into the shot is apparent in how the ball floats down the ground. Terrible mis-hit. Comes off almost the splice of the bat. And is easily taken by a backtracking Chapman,"Duffy to Mohammad Hafeez, OUT",20/3,547766,Jacob Duffy,0,12,3,2.0,9,539548,Scott Kuggeleijn,0,6,0,1.0,4,41434,Mohammad Hafeez,0,1,0,0,1168651,Haider Ali,3,4,0,0,6,True,0,0,0,0,0,4,4,2,True,caught,False,Mohammad Hafeez c Chapman b Duffy 0 (1m 1b 0x4 0x6) SR: 0.00,5.0,0,24,0,3,0,1,1,0,20
out,7,Pakistan,5,New Zealand,1st innings,0,"<b>Extra bounce! Extra bounce!</b>They can't handle the extra bounce! Haider is looking to whip a back of a length ball through the leg side. But in addition to the ball coming up at a height he doesn't expect, it also doesn't come on to his bat. All of that means he gets a leading edge which the bowler himself runs up and takes. Spectacular spell of bowling by New Zealand. They really are very good at understanding conditions and exploiting them at double quick time.","Kuggeleijn to Haider Ali, OUT",20/4,539548,Scott Kuggeleijn,0,7,1,1.1,4,547766,Jacob Duffy,0,12,3,2.0,9,1168651,Haider Ali,3,5,0,0,922943,Shadab Khan,0,0,0,0,1,False,0,0,0,0,0,5,5,1,True,caught,False,Haider Ali c &amp; b Kuggeleijn 3 (14m 5b 0x4 0x6) SR: 60.00,4.8,0,25,0,4,0,1,1,0,20
no run,7,Pakistan,5,New Zealand,1st innings,0,"back of a length and outside off, pushes into the covers","Kuggeleijn to Khushdil Shah, no run",20/4,539548,Scott Kuggeleijn,0,8,1,1.2,4,547766,Jacob Duffy,0,12,3,2.0,9,716733,Khushdil Shah,0,1,0,0,922943,Shadab Khan,0,0,0,0,2,False,0,0,0,0,0,5,5,1,False,,False,False,4.61,0,26,0,4,0,1,1,0,20
no run,7,Pakistan,5,New Zealand,1st innings,0,"full and outside off, Shah tries to smear it through the covers, but a hint of inswing gets his inside edge","Kuggeleijn to Khushdil Shah, no run",20/4,539548,Scott Kuggeleijn,0,9,1,1.3,4,547766,Jacob Duffy,0,12,3,2.0,9,716733,Khushdil Shah,0,2,0,0,922943,Shadab Khan,0,0,0,0,3,False,0,0,0,0,0,5,5,1,False,,False,False,4.44,0,27,0,4,0,1,1,0,20
no run,7,Pakistan,5,New Zealand,1st innings,0,"full and outside off, eases it to mid-off","Kuggeleijn to Khushdil Shah, no run",20/4,539548,Scott Kuggeleijn,0,10,1,1.4,4,547766,Jacob Duffy,0,12,3,2.0,9,716733,Khushdil Shah,0,3,0,0,922943,Shadab Khan,0,0,0,0,4,False,0,0,0,0,0,5,5,1,False,,False,False,4.28,0,28,0,4,0,1,1,0,20
four,7,Pakistan,5,New Zealand,1st innings,4,"<b>lovely batting</b>! Shah waits for the ball, he waits for it to get as high up as it would, then he hits it on top of that bounce and cuts it away to the boundary","Kuggeleijn to Khushdil Shah, FOUR runs",24/4,539548,Scott Kuggeleijn,0,11,1,1.5,8,547766,Jacob Duffy,0,12,3,2.0,9,716733,Khushdil Shah,4,4,1,0,922943,Shadab Khan,0,0,0,0,5,False,0,0,0,0,0,5,5,1,False,,False,False,4.96,0,29,0,4,0,1,1,0,24
run,7,Pakistan,5,New Zealand,1st innings,1,defends a back of a length ball into the midwicket region to keep the strike. That is the best bit of cricket Pakistan have played so far.,"Kuggeleijn to Khushdil Shah, 1 run",25/4,539548,Scott Kuggeleijn,0,12,1,2.0,9,547766,Jacob Duffy,0,12,3,2.0,9,716733,Khushdil Shah,5,5,1,0,922943,Shadab Khan,0,0,0,0,6,True,0,0,0,0,0,5,5,1,False,,False,False,5.0,0,30,0,4,0,1,1,0,25
run,7,Pakistan,5,New Zealand,1st innings,2,"full, straight and swinging into the stumps. And once again, Shah shows excellent balance at the crease, waiting for the ball to get under his eyes and flicking it off the middle of the bat through midwicket.","Duffy to Khushdil Shah, 2 runs",27/4,547766,Jacob Duffy,0,13,3,2.1,11,539548,Scott Kuggeleijn,0,12,1,2.0,9,716733,Khushdil Shah,7,6,1,0,922943,Shadab Khan,0,0,0,0,1,False,0,0,0,0,0,6,4,0,False,,False,False,5.22,0,31,0,4,0,1,1,0,27
