Ov,T,S,Sv
6.2,"Eldred Hawken to Tshepang Dithole. Back of a length, defending, Played to short extra cover for no runs, fielded by King.",Dot ball,0
6.3,"Eldred Hawken to Tshepang Dithole. Length ball, defending, Hit Hard to mid off for no runs, fielded by Senokwane.",Dot ball,0
6.4,"Eldred Hawken to Tshepang Dithole. Back of a length, defending, missed for no runs, fielded by Cotani.",Dot ball,0
6.5,"Eldred Hawken to Tshepang Dithole. Length ball, defending, Hit Hard to silly mid off for no runs, fielded by King.",Dot ball,0
6.6,"Eldred Hawken to Tshepang Dithole. Length ball, driving, Played to mid off for no runs, fielded by Senokwane.",Dot ball,0
7.0,Over 7. no runs. Bowler: Eldred Hawken. Dolphins: 5/2(rr 0.71),End of over,
7.1,"Duan Jansen to Khaya Zondo. Length ball, driving, Hit Hard to point for no runs, fielded by Britz.",Dot ball,0
7.2,"Duan Jansen to Khaya Zondo. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
7.3,"Duan Jansen to Khaya Zondo. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
7.4,"Duan Jansen to Khaya Zondo. Length ball, defending, missed for no runs, fielded by Cotani.",Dot ball,0
7.5,"FOUR! Duan Jansen to Khaya Zondo. Length ball, driving, Edged in the air under control past third man for 4 runs.",Four runs,4
7.6,"Duan Jansen to Khaya Zondo. Length ball, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
8.0,Over 8. 4 runs. Bowler: Duan Jansen. Dolphins: 9/2(rr 1.12),End of over,
8.1,"Eldred Hawken to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
8.2,"FOUR! Eldred Hawken to Tshepang Dithole. Length ball, cutting, Hit Hard past deep cover for 4 runs.",Four runs,4
8.3,"Eldred Hawken to Tshepang Dithole. Back of a length, defending, missed for no runs, fielded by Cotani.",Dot ball,0
8.4,"Eldred Hawken to Tshepang Dithole. Back of a length, defending, Played to mid wicket for no runs, fielded by Britz.",Dot ball,0
8.5,"Eldred Hawken to Tshepang Dithole. Length ball, defending, Played to cover for no runs, fielded by King.",Dot ball,0
8.6,"Eldred Hawken to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
9.0,Over 9. 4 runs. Bowler: Eldred Hawken. Dolphins: 13/2(rr 1.44),End of over,
9.1,"Duan Jansen to Khaya Zondo. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
9.2,"Duan Jansen to Khaya Zondo. Length ball, defending, Played to mid off for no runs, fielded by Meyer.",Dot ball,0
9.3,"Duan Jansen to Khaya Zondo. Length ball, defending, Played to short extra cover for no runs, fielded by Britz.",Dot ball,0
9.4,"Duan Jansen to Khaya Zondo. Length ball, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
9.5,"FOUR! Duan Jansen to Khaya Zondo. Back of a length, pulling, Edged in the air uncontrolled past fine leg for 4 runs, dropped catch by Cotani.",Four runs,4
9.6,"Duan Jansen to Khaya Zondo. Back of a length, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
10.0,Over 10. 4 runs. Bowler: Duan Jansen. Dolphins: 17/2(rr 1.70),End of over,
10.1,"Renaldo Meyer to Tshepang Dithole. Length ball, driving, Played to mid on for no runs, fielded by Hawken.",Dot ball,0
10.2,"FOUR! Renaldo Meyer to Tshepang Dithole. Length ball, driving, Hit Hard past long off for 4 runs.",Four runs,4
10.3,"Renaldo Meyer to Tshepang Dithole. Back of a length, defending, mis-timed to point for no runs, fielded by Britz.",Dot ball,0
10.4,"Renaldo Meyer to Tshepang Dithole. Length ball, defending, Hit Hard to short extra cover for no runs, fielded by Mokoena.",Dot ball,0
10.5,"Renaldo Meyer to Tshepang Dithole. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
10.5,"No ball Renaldo Meyer to Tshepang Dithole. Length ball, shoulders arms, and it was a no ball, fielded by Cotani.",No ball,nb
10.6,"Renaldo Meyer to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
11.0,Over 11. 5 runs. Bowler: Renaldo Meyer. Dolphins: 22/2(rr 2.00),End of over,
11.1,"Juan James to Khaya Zondo. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
11.2,"Juan James to Khaya Zondo. Length ball, driving, Played to mid off for 2 runs, fielded by Senokwane.",Two runs,2
11.3,"Juan James to Khaya Zondo. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
11.4,"Juan James to Khaya Zondo. Length ball, driving, mis-timed back to bowler for no runs.",Dot ball,0
11.5,"Juan James to Khaya Zondo. Length ball, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
11.6,"APPEAL! Juan James to Khaya Zondo. Length ball, defending, hit pad for no runs, appeal made for L.B.W.",Dot ball,0
12.0,Over 12. 2 runs. Bowler: Juan James. Dolphins: 24/2(rr 2.00),End of over,
12.1,"Renaldo Meyer to Tshepang Dithole. Length ball, driving, mis-timed to short extra cover for no runs, fielded by Mokoena.",Dot ball,0
12.2,"Renaldo Meyer to Tshepang Dithole. Length ball, defending, Hit Hard to cover for no runs, fielded by James.",Dot ball,0
12.3,"Renaldo Meyer to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
12.4,"Renaldo Meyer to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
12.5,"Renaldo Meyer to Tshepang Dithole. Back of a length, defending, Played to short extra cover for no runs, fielded by Mokoena.",Dot ball,0
12.6,"Renaldo Meyer to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
13.0,Over 13. no runs. Bowler: Renaldo Meyer. Dolphins: 24/2(rr 1.85),End of over,
13.1,"Juan James to Khaya Zondo. Back of a length, cutting, Played to cover for 2 runs.",Two runs,2
13.2,"Juan James to Khaya Zondo. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
13.3,"Juan James to Khaya Zondo. Back of a length, pulling, mis-timed to mid wicket for no runs, fielded by Britz.",Dot ball,0
13.4,"Juan James to Khaya Zondo. Length ball, defending, Played to short leg for no runs.",Dot ball,0
13.5,"FOUR! Juan James to Khaya Zondo. Length ball, driving, Hit Hard past deep extra cover for 4 runs.",Four runs,4
13.6,"Juan James to Khaya Zondo. Length ball, cutting, Played to point for no runs, fielded by Jansen.",Dot ball,0
14.0,Over 14. 6 runs. Bowler: Juan James. Dolphins: 30/2(rr 2.14),End of over,
14.1,"Renaldo Meyer to Tshepang Dithole. Length ball, defending, Played to silly point for no runs, fielded by Mokoena.",Dot ball,0
14.2,"Renaldo Meyer to Tshepang Dithole. Back of a length, defending, Played to extra cover for no runs, fielded by King.",Dot ball,0
14.2,"No ball Renaldo Meyer to Tshepang Dithole. Short, Leave, and it was a no ball, fielded by Cotani.",No ball,nb
14.3,"Renaldo Meyer to Tshepang Dithole. Length ball, driving, mis-timed in the air uncontrolled to mid on for 1 run.",One run,1
14.3,"No ball Renaldo Meyer to Tshepang Dithole. Length ball, driving, Played to point and it was a no ball, fielded by James.",No ball,nb
14.4,"Renaldo Meyer to Khaya Zondo. Length ball, defending, Played to short extra cover for no runs, fielded by Mokoena.",Dot ball,0
14.5,"Renaldo Meyer to Khaya Zondo. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
14.6,"Renaldo Meyer to Khaya Zondo. Length ball, defending, Played to mid wicket for no runs, fielded by King.",Dot ball,0
15.0,Over 15. 3 runs. Bowler: Renaldo Meyer. Dolphins: 33/2(rr 2.20),End of over,
15.1,"Juan James to Tshepang Dithole. Length ball, cutting, mis-timed to cover for no runs, fielded by King.",Dot ball,0
15.2,"Juan James to Tshepang Dithole. Length ball, driving, Played to mid off for no runs, fielded by Meyer.",Dot ball,0
15.3,"Juan James to Tshepang Dithole. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
15.4,"Juan James to Tshepang Dithole. Length ball, driving, Played to mid off for 1 run, shy attempt by Meyer.",One run,1
15.5,"Juan James to Khaya Zondo. Length ball, driving, Played back to bowler for no runs.",Dot ball,0
15.6,"FOUR! Juan James to Khaya Zondo. Length ball, driving, Hit Hard past long on for 4 runs.",Four runs,4
16.0,Over 16. 5 runs. Bowler: Juan James. Dolphins: 38/2(rr 2.38),End of over,
16.1,"Renaldo Meyer to Tshepang Dithole. Back of a length, defending, Played to mid wicket for no runs, fielded by Jansen.",Dot ball,0
16.2,"Renaldo Meyer to Tshepang Dithole. Length ball, driving, Edged in the air uncontrolled to gully for no runs, fielded by Pillay.",Dot ball,0
16.3,"Renaldo Meyer to Tshepang Dithole. Back of a length, working, Played to square leg for 1 run.",One run,1
16.4,"Renaldo Meyer to Khaya Zondo. Back of a length, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
16.5,"Renaldo Meyer to Khaya Zondo. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
16.6,"Renaldo Meyer to Khaya Zondo. Back of a length, defending, Played to silly point for no runs.",Dot ball,0
17.0,Over 17. 1 run. Bowler: Renaldo Meyer. Dolphins: 39/2(rr 2.29),End of over,
17.1,"Juan James to Tshepang Dithole. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
17.2,"Juan James to Tshepang Dithole. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
17.3,"Juan James to Tshepang Dithole. Length ball, defending, Played to cover for no runs, fielded by Britz.",Dot ball,0
17.4,"Juan James to Tshepang Dithole. Length ball, driving, mis-timed to cover for no runs, fielded by Britz.",Dot ball,0
17.5,"Juan James to Tshepang Dithole. Length ball, defending, Played to short extra cover for no runs, fielded by Britz.",Dot ball,0
17.6,"FOUR! Juan James to Tshepang Dithole. Full toss, driving, Hit Hard past long on for 4 runs.",Four runs,4
18.0,Over 18. 4 runs. Bowler: Juan James. Dolphins: 43/2(rr 2.39),End of over,
18.1,"Renaldo Meyer to Khaya Zondo. Length ball, driving, missed for no runs, fielded by Cotani.",Dot ball,0
18.2,"Renaldo Meyer to Khaya Zondo. Short, Leave, for no runs, fielded by Cotani.",Dot ball,0
18.3,"Renaldo Meyer to Khaya Zondo. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
18.4,"FOUR! Renaldo Meyer to Khaya Zondo. Length ball, glancing, Hit Hard past fine leg for 4 runs.",Four runs,4
18.5,"Renaldo Meyer to Khaya Zondo. Length ball, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
18.6,"Renaldo Meyer to Khaya Zondo. Full toss, driving, mis-timed to silly mid on for no runs, fielded by Senokwane.",Dot ball,0
19.0,Over 19. 4 runs. Bowler: Renaldo Meyer. Dolphins: 47/2(rr 2.47),End of over,
19.1,"Lesego Senokwane to Tshepang Dithole. Length ball, defending, Played to point for no runs, fielded by Britz.",Dot ball,0
19.2,"Lesego Senokwane to Tshepang Dithole. Full toss, driving, Played to mid off for no runs, fielded by Meyer.",Dot ball,0
19.3,"Lesego Senokwane to Tshepang Dithole. Length ball, driving, Played to mid off for no runs, fielded by Meyer.",Dot ball,0
19.4,"Lesego Senokwane to Tshepang Dithole. Length ball, driving, Played to extra cover for 1 run, fielded by Meyer.",One run,1
19.5,"Lesego Senokwane to Khaya Zondo. Length ball, defending, Played to short extra cover for no runs, fielded by King.",Dot ball,0
19.6,"Lesego Senokwane to Khaya Zondo. Back of a length, defending, Played to short leg for no runs.",Dot ball,0
20.0,Over 20. 1 run. Bowler: Lesego Senokwane. Dolphins: 48/2(rr 2.40),End of over,
20.1,"Juan James to Tshepang Dithole. Length ball, cutting, Played to point for no runs, fielded by Britz.",Dot ball,0
20.2,"Juan James to Tshepang Dithole. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
20.3,"FOUR! Juan James to Tshepang Dithole. Half volley, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
20.4,"Juan James to Tshepang Dithole. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
20.5,"Juan James to Tshepang Dithole. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
20.6,"SIX! Juan James to Tshepang Dithole. Back of a length, hooking, Hit Hard over deep mid wicket for 6 runs.",Six runs,6
21.0,Over 21. 10 runs. Bowler: Juan James. Dolphins: 58/2(rr 2.76),End of over,
21.1,"Lesego Senokwane to Khaya Zondo. Length ball, driving, Played to mid off for 1 run, fielded by Hawken.",One run,1
21.2,"Lesego Senokwane to Tshepang Dithole. Length ball, defending, Played to silly point for no runs, fielded by Meyer.",Dot ball,0
21.3,"Lesego Senokwane to Tshepang Dithole. Length ball, defending, Played to gully for no runs, fielded by Hawken.",Dot ball,0
21.4,"FOUR! Lesego Senokwane to Tshepang Dithole. Back of a length, hooking, Hit Hard in the air under control past long on for 4 runs.",Four runs,4
21.5,"Lesego Senokwane to Tshepang Dithole. Back of a length, cutting, Played to cover for 1 run, fielded by King.",One run,1
21.6,"Lesego Senokwane to Khaya Zondo. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
22.0,Over 22. 6 runs. Bowler: Lesego Senokwane. Dolphins: 64/2(rr 2.91),End of over,
22.1,"JP King to Tshepang Dithole. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
22.2,"JP King to Tshepang Dithole. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
22.3,"OUT! L.B.W. JP King to Tshepang Dithole. Length ball, defending, hit pad.",Wicket,W
22.4,"JP King to Jason Smith. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
22.5,"FOUR! JP King to Jason Smith. Length ball, driving, Hit Hard in the air under control past deep extra cover for 4 runs.",Four runs,4
22.6,"JP King to Jason Smith. Length ball, Steer, Played to fourth slip for no runs, fielded by Mokoena.",Dot ball,0
23.0,Over 23. 4 runs. Bowler: JP King. Dolphins: 68/3(rr 2.96),End of over,
23.1,"Lesego Senokwane to Khaya Zondo. Length ball, defending, hit pad to leg slip for no runs.",Dot ball,0
23.2,"FOUR! Lesego Senokwane to Khaya Zondo. Length ball, cutting, Hit Hard past deep cover for 4 runs.",Four runs,4
23.3,"Lesego Senokwane to Khaya Zondo. Length ball, Leave, Missed (Leg Side) to leg gully for no runs.",Dot ball,0
23.4,"Lesego Senokwane to Khaya Zondo. Back of a length, defending, Played to silly point for no runs.",Dot ball,0
23.5,"Lesego Senokwane to Khaya Zondo. Length ball, driving, Played to mid off for no runs.",Dot ball,0
23.6,"Lesego Senokwane to Khaya Zondo. Length ball, driving, mis-timed to short leg for no runs.",Dot ball,0
24.0,Over 24. 4 runs. Bowler: Lesego Senokwane. Dolphins: 72/3(rr 3.00),End of over,
24.1,"JP King to Jason Smith. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
24.2,"JP King to Jason Smith. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
24.3,"JP King to Jason Smith. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
24.4,"JP King to Jason Smith. Length ball, defending, Played to short leg for no runs.",Dot ball,0
24.5,"JP King to Jason Smith. Length ball, driving, Played to mid on for no runs, fielded by Senokwane.",Dot ball,0
24.6,"JP King to Jason Smith. Length ball, defending, Edged in the air uncontrolled to short leg for no runs, dropped catch by Pillay.",Dot ball,0
25.0,Over 25. no runs. Bowler: JP King. Dolphins: 72/3(rr 2.88),End of over,
25.1,"Lesego Senokwane to Khaya Zondo. Length ball, driving, mis-timed back to bowler for no runs.",Dot ball,0
25.2,"FOUR! Lesego Senokwane to Khaya Zondo. Half volley, driving, Hit Hard past deep point for 4 runs.",Four runs,4
25.3,"Lesego Senokwane to Khaya Zondo. Length ball, defending, Played to point for no runs.",Dot ball,0
25.4,"Lesego Senokwane to Khaya Zondo. Length ball, driving, Played to mid on for 1 run, fielded by Meyer.",One run,1
25.5,"Lesego Senokwane to Jason Smith. Length ball, driving, mis-timed to mid on for 1 run.",One run,1
25.6,"Lesego Senokwane to Khaya Zondo. Length ball, cutting, Played to cover for no runs, fielded by King.",Dot ball,0
26.0,Over 26. 6 runs. Bowler: Lesego Senokwane. Dolphins: 78/3(rr 3.00),End of over,
26.1,"JP King to Jason Smith. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
26.2,"JP King to Jason Smith. Length ball, defending, missed for no runs, fielded by Cotani.",Dot ball,0
26.3,"JP King to Jason Smith. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
26.4,"JP King to Jason Smith. Length ball, driving, Played back to bowler for no runs.",Dot ball,0
26.5,"JP King to Jason Smith. Back of a length, defending, Played to short mid wicket for no runs.",Dot ball,0
26.6,"FOUR! JP King to Jason Smith. Length ball, driving, Played past deep cover for 4 runs.",Four runs,4
27.0,Over 27. 4 runs. Bowler: JP King. Dolphins: 82/3(rr 3.04),End of over,
27.1,"Lesego Senokwane to Khaya Zondo. Full toss, driving, Played to extra cover for no runs.",Dot ball,0
27.2,"Lesego Senokwane to Khaya Zondo. Length ball, reverse sweeping, Played to third man for 3 runs, run save by Marshall.",Three runs,3
27.3,"Lesego Senokwane to Jason Smith. Length ball, driving, Played to extra cover for no runs.",Dot ball,0
27.4,"Lesego Senokwane to Jason Smith. Length ball, driving, Played to mid on for 1 run, fielded by Meyer.",One run,1
27.5,"FOUR! Lesego Senokwane to Khaya Zondo. Length ball, driving, Hit Hard past deep mid wicket for 4 runs.",Four runs,4
27.6,"Lesego Senokwane to Khaya Zondo. Length ball, defending, Played to short leg for no runs.",Dot ball,0
28.0,Over 28. 8 runs. Bowler: Lesego Senokwane. Dolphins: 90/3(rr 3.21),End of over,
28.1,"JP King to Jason Smith. Length ball, defending, Played to silly point for no runs.",Dot ball,0
28.2,"JP King to Jason Smith. Length ball, glancing, Played to square leg for 1 run.",One run,1
28.3,"JP King to Khaya Zondo. Back of a length, defending, Played to silly point for no runs.",Dot ball,0
28.4,"JP King to Khaya Zondo. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
28.5,"JP King to Khaya Zondo. Length ball, defending, Played to short leg for no runs.",Dot ball,0
28.6,"JP King to Khaya Zondo. Back of a length, pulling, Played to square leg for 1 run.",One run,1
29.0,Over 29. 2 runs. Bowler: JP King. Dolphins: 92/3(rr 3.17),End of over,
29.1,"Lesego Senokwane to Khaya Zondo. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
29.2,"Lesego Senokwane to Khaya Zondo. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
29.3,"Lesego Senokwane to Khaya Zondo. Length ball, glancing, Played to leg slip for 1 run.",One run,1
29.4,"Lesego Senokwane to Jason Smith. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
29.5,"Lesego Senokwane to Jason Smith. Length ball, driving, Played to mid off for 1 run.",One run,1
29.6,"Lesego Senokwane to Khaya Zondo. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
30.0,Over 30. 2 runs. Bowler: Lesego Senokwane. Dolphins: 94/3(rr 3.13),End of over,
30.1,"JP King to Jason Smith. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
30.2,"JP King to Jason Smith. Length ball, defending, Hit Hard to short extra cover for no runs.",Dot ball,0
30.3,"JP King to Jason Smith. Back of a length, working, Played to mid wicket for 2 runs.",Two runs,2
30.4,"JP King to Jason Smith. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
30.5,"JP King to Jason Smith. Back of a length, pulling, Hit Hard to short leg for no runs, fielded by Pillay.",Dot ball,0
30.6,"JP King to Jason Smith. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
31.0,Over 31. 2 runs. Bowler: JP King. Dolphins: 96/3(rr 3.10),End of over,
31.1,"Lesego Senokwane to Khaya Zondo. Length ball, driving, Played to extra cover for no runs.",Dot ball,0
31.2,"Lesego Senokwane to Khaya Zondo. Length ball, defending, Played to short leg for no runs.",Dot ball,0
31.3,"Lesego Senokwane to Khaya Zondo. Length ball, driving, Played back to bowler for no runs.",Dot ball,0
31.4,"FOUR! Lesego Senokwane to Khaya Zondo. Full toss, reverse sweeping, Hit Hard past third man for 4 runs.",Four runs,4
31.5,"Lesego Senokwane to Khaya Zondo. Length ball, defending, Played to short leg for no runs, fielded by Pillay.",Dot ball,0
31.6,"Lesego Senokwane to Khaya Zondo. Length ball, driving, Played to mid on for 1 run.",One run,1
32.0,Over 32. 5 runs. Bowler: Lesego Senokwane. Dolphins: 101/3(rr 3.16),End of over,
32.1,"JP King to Khaya Zondo. Length ball, working, Played to leg gully for 1 run.",One run,1
32.2,"JP King to Jason Smith. Half volley, driving, Played to extra cover for no runs.",Dot ball,0
32.3,"JP King to Jason Smith. Length ball, working, Played to mid wicket for 1 run.",One run,1
32.4,"JP King to Khaya Zondo. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
32.5,"JP King to Khaya Zondo. Length ball, defending, missed for no runs, fielded by Cotani.",Dot ball,0
32.6,"JP King to Khaya Zondo. Back of a length, working, Played to short leg for no runs, fielded by Pillay.",Dot ball,0
33.0,Over 33. 2 runs. Bowler: JP King. Dolphins: 103/3(rr 3.12),End of over,
33.1,"Eldred Hawken to Jason Smith. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
33.2,"Eldred Hawken to Jason Smith. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
33.3,"Eldred Hawken to Jason Smith. Back of a length, Steer, Played to point for no runs.",Dot ball,0
33.4,"Eldred Hawken to Jason Smith. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
33.5,"Eldred Hawken to Jason Smith. Back of a length, driving, hit pad to fine leg for 1 run.",One run,1
33.6,"Eldred Hawken to Khaya Zondo. Back of a length, glancing, Played to short fine leg for 1 run.",One run,1
34.0,Over 34. 2 runs. Bowler: Eldred Hawken. Dolphins: 105/3(rr 3.09),End of over,
34.1,"JP King to Khaya Zondo. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
34.2,"JP King to Khaya Zondo. Back of a length, cutting, Played to deep point for 1 run.",One run,1
34.3,"JP King to Jason Smith. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
34.4,"JP King to Jason Smith. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
34.5,"JP King to Jason Smith. Length ball, cutting, Played to point for no runs.",Dot ball,0
34.6,"JP King to Jason Smith. Length ball, driving, Played to extra cover for no runs.",Dot ball,0
35.0,Over 35. 1 run. Bowler: JP King. Dolphins: 106/3(rr 3.03),End of over,
35.1,"Eldred Hawken to Khaya Zondo. Length ball, defending, Edged to gully for no runs.",Dot ball,0
35.2,"Eldred Hawken to Khaya Zondo. Back of a length, defending, Played to silly point for no runs.",Dot ball,0
35.3,"Eldred Hawken to Khaya Zondo. Length ball, glancing, mis-timed to leg gully for no runs.",Dot ball,0
35.4,"Eldred Hawken to Khaya Zondo. Length ball, glancing, Played to backward square leg for no runs.",Dot ball,0
35.5,"Eldred Hawken to Khaya Zondo. Length ball, glancing, Missed (Leg Side) for no runs, fielded by Cotani.",Dot ball,0
