Team_1,Team_1_number,Team_2,Team_2_number,Winner_team,Winner_team_number,Margin,Ground,Ground_number,Match Date,Scorecard,Match_number,Match_Type
KKR,335971.0,Guj Lions,968725.0,Guj Lions,968725.0,5 wickets,Kolkata,57980.0,"May 8, 2016",T20,980975.0,IPL
Kings XI,335973.0,RCB,335970.0,RCB,335970.0,1 run,Mohali,57991.0,"May 9, 2016",T20,980977.0,IPL
Supergiants,968721.0,Sunrisers,628333.0,Sunrisers,628333.0,4 runs,Visakhapatnam,58547.0,"May 10, 2016",T20,980979.0,IPL
RCB,335970.0,Mum Indians,335978.0,Mum Indians,335978.0,6 wickets,Bengaluru,57897.0,"May 11, 2016",T20,980981.0,IPL
Sunrisers,628333.0,Daredevils,335975.0,Daredevils,335975.0,7 wickets,Hyderabad (Deccan),58142.0,"May 12, 2016",T20,980983.0,IPL
Mum Indians,335978.0,Kings XI,335973.0,Kings XI,335973.0,7 wickets,Visakhapatnam,58547.0,"May 13, 2016",T20,980985.0,IPL
RCB,335970.0,Guj Lions,968725.0,RCB,335970.0,144 runs,Bengaluru,57897.0,"May 14, 2016",T20,980987.0,IPL
KKR,335971.0,Supergiants,968721.0,KKR,335971.0,8 wickets,Kolkata,57980.0,"May 14, 2016",T20,980989.0,IPL
Kings XI,335973.0,Sunrisers,628333.0,Sunrisers,628333.0,7 wickets,Mohali,57991.0,"May 15, 2016",T20,980991.0,IPL
Mum Indians,335978.0,Daredevils,335975.0,Mum Indians,335978.0,80 runs,Visakhapatnam,58547.0,"May 15, 2016",T20,980993.0,IPL
KKR,335971.0,RCB,335970.0,RCB,335970.0,9 wickets,Kolkata,57980.0,"May 16, 2016",T20,980995.0,IPL
Supergiants,968721.0,Daredevils,335975.0,Supergiants,968721.0,19 runs,Visakhapatnam,58547.0,"May 17, 2016",T20,980997.0,IPL
RCB,335970.0,Kings XI,335973.0,RCB,335970.0,82 runs,Bengaluru,57897.0,"May 18, 2016",T20,980999.0,IPL
Guj Lions,968725.0,KKR,335971.0,Guj Lions,968725.0,6 wickets,Kanpur,58204.0,"May 19, 2016",T20,981001.0,IPL
Daredevils,335975.0,Sunrisers,628333.0,Daredevils,335975.0,6 wickets,Raipur,601879.0,"May 20, 2016",T20,981003.0,IPL
Supergiants,968721.0,Kings XI,335973.0,Supergiants,968721.0,4 wickets,Visakhapatnam,58547.0,"May 21, 2016",T20,981005.0,IPL
Guj Lions,968725.0,Mum Indians,335978.0,Guj Lions,968725.0,6 wickets,Kanpur,58204.0,"May 21, 2016",T20,981007.0,IPL
KKR,335971.0,Sunrisers,628333.0,KKR,335971.0,22 runs,Kolkata,57980.0,"May 22, 2016",T20,981009.0,IPL
Daredevils,335975.0,RCB,335970.0,RCB,335970.0,6 wickets,Raipur,601879.0,"May 22, 2016",T20,981011.0,IPL
RCB,335970.0,Guj Lions,968725.0,RCB,335970.0,4 wickets,Bengaluru,57897.0,"May 24, 2016",T20,981013.0,IPL
KKR,335971.0,Sunrisers,628333.0,Sunrisers,628333.0,22 runs,Delhi,58040.0,"May 25, 2016",T20,981015.0,IPL
Guj Lions,968725.0,Sunrisers,628333.0,Sunrisers,628333.0,4 wickets,Delhi,58040.0,"May 27, 2016",T20,981017.0,IPL
RCB,335970.0,Sunrisers,628333.0,Sunrisers,628333.0,8 runs,Bengaluru,57897.0,"May 29, 2016",T20,981019.0,IPL
Sunrisers,628333.0,RCB,335970.0,Sunrisers,628333.0,35 runs,Hyderabad (Deccan),58142.0,"Apr 5, 2017",T20,1082591.0,IPL
Supergiant,968721.0,Mum Indians,335978.0,Supergiant,968721.0,7 wickets,Pune,545380.0,"Apr 6, 2017",T20,1082592.0,IPL
Guj Lions,968725.0,KKR,335971.0,KKR,335971.0,10 wickets,Rajkot,377285.0,"Apr 7, 2017",T20,1082593.0,IPL
Kings XI,335973.0,Supergiant,968721.0,Kings XI,335973.0,6 wickets,Indore,58150.0,"Apr 8, 2017",T20,1082594.0,IPL
RCB,335970.0,Daredevils,335975.0,RCB,335970.0,15 runs,Bengaluru,57897.0,"Apr 8, 2017",T20,1082595.0,IPL
Sunrisers,628333.0,Guj Lions,968725.0,Sunrisers,628333.0,9 wickets,Hyderabad (Deccan),58142.0,"Apr 9, 2017",T20,1082596.0,IPL
Mum Indians,335978.0,KKR,335971.0,Mum Indians,335978.0,4 wickets,Mumbai,58324.0,"Apr 9, 2017",T20,1082597.0,IPL
Kings XI,335973.0,RCB,335970.0,Kings XI,335973.0,8 wickets,Indore,58150.0,"Apr 10, 2017",T20,1082598.0,IPL
Supergiant,968721.0,Daredevils,335975.0,Daredevils,335975.0,97 runs,Pune,545380.0,"Apr 11, 2017",T20,1082599.0,IPL
Mum Indians,335978.0,Sunrisers,628333.0,Mum Indians,335978.0,4 wickets,Mumbai,58324.0,"Apr 12, 2017",T20,1082600.0,IPL
KKR,335971.0,Kings XI,335973.0,KKR,335971.0,8 wickets,Kolkata,57980.0,"Apr 13, 2017",T20,1082601.0,IPL
RCB,335970.0,Mum Indians,335978.0,Mum Indians,335978.0,4 wickets,Bengaluru,57897.0,"Apr 14, 2017",T20,1082602.0,IPL
Guj Lions,968725.0,Supergiant,968721.0,Guj Lions,968725.0,7 wickets,Rajkot,377285.0,"Apr 14, 2017",T20,1082603.0,IPL
KKR,335971.0,Sunrisers,628333.0,KKR,335971.0,17 runs,Kolkata,57980.0,"Apr 15, 2017",T20,1082604.0,IPL
Daredevils,335975.0,Kings XI,335973.0,Daredevils,335975.0,51 runs,Delhi,58040.0,"Apr 15, 2017",T20,1082605.0,IPL
Mum Indians,335978.0,Guj Lions,968725.0,Mum Indians,335978.0,6 wickets,Mumbai,58324.0,"Apr 16, 2017",T20,1082606.0,IPL
RCB,335970.0,Supergiant,968721.0,Supergiant,968721.0,27 runs,Bengaluru,57897.0,"Apr 16, 2017",T20,1082607.0,IPL
Daredevils,335975.0,KKR,335971.0,KKR,335971.0,4 wickets,Delhi,58040.0,"Apr 17, 2017",T20,1082608.0,IPL
Sunrisers,628333.0,Kings XI,335973.0,Sunrisers,628333.0,5 runs,Hyderabad (Deccan),58142.0,"Apr 17, 2017",T20,1082609.0,IPL
Guj Lions,968725.0,RCB,335970.0,RCB,335970.0,21 runs,Rajkot,377285.0,"Apr 18, 2017",T20,1082610.0,IPL
Sunrisers,628333.0,Daredevils,335975.0,Sunrisers,628333.0,15 runs,Hyderabad (Deccan),58142.0,"Apr 19, 2017",T20,1082611.0,IPL
Kings XI,335973.0,Mum Indians,335978.0,Mum Indians,335978.0,8 wickets,Indore,58150.0,"Apr 20, 2017",T20,1082612.0,IPL
KKR,335971.0,Guj Lions,968725.0,Guj Lions,968725.0,4 wickets,Kolkata,57980.0,"Apr 21, 2017",T20,1082613.0,IPL
Supergiant,968721.0,Sunrisers,628333.0,Supergiant,968721.0,6 wickets,Pune,545380.0,"Apr 22, 2017",T20,1082615.0,IPL
Mum Indians,335978.0,Daredevils,335975.0,Mum Indians,335978.0,14 runs,Mumbai,58324.0,"Apr 22, 2017",T20,1082614.0,IPL
Guj Lions,968725.0,Kings XI,335973.0,Kings XI,335973.0,26 runs,Rajkot,377285.0,"Apr 23, 2017",T20,1082616.0,IPL
KKR,335971.0,RCB,335970.0,KKR,335971.0,82 runs,Kolkata,57980.0,"Apr 23, 2017",T20,1082617.0,IPL
Mum Indians,335978.0,Supergiant,968721.0,Supergiant,968721.0,3 runs,Mumbai,58324.0,"Apr 24, 2017",T20,1082618.0,IPL
RCB,335970.0,Sunrisers,628333.0,abandoned,,,Bengaluru,57897.0,"Apr 25, 2017",T20,1082619.0,IPL
Supergiant,968721.0,KKR,335971.0,KKR,335971.0,7 wickets,Pune,545380.0,"Apr 26, 2017",T20,1082620.0,IPL
RCB,335970.0,Guj Lions,968725.0,Guj Lions,968725.0,7 wickets,Bengaluru,57897.0,"Apr 27, 2017",T20,1082621.0,IPL
KKR,335971.0,Daredevils,335975.0,KKR,335971.0,7 wickets,Kolkata,57980.0,"Apr 28, 2017",T20,1082622.0,IPL
Kings XI,335973.0,Sunrisers,628333.0,Sunrisers,628333.0,26 runs,Mohali,57991.0,"Apr 28, 2017",T20,1082623.0,IPL
Supergiant,968721.0,RCB,335970.0,Supergiant,968721.0,61 runs,Pune,545380.0,"Apr 29, 2017",T20,1082624.0,IPL
Guj Lions,968725.0,Mum Indians,335978.0,tied,,,Rajkot,377285.0,"Apr 29, 2017",T20,1082625.0,IPL
Kings XI,335973.0,Daredevils,335975.0,Kings XI,335973.0,10 wickets,Mohali,57991.0,"Apr 30, 2017",T20,1082626.0,IPL
Sunrisers,628333.0,KKR,335971.0,Sunrisers,628333.0,48 runs,Hyderabad (Deccan),58142.0,"Apr 30, 2017",T20,1082627.0,IPL
Mum Indians,335978.0,RCB,335970.0,Mum Indians,335978.0,5 wickets,Mumbai,58324.0,"May 1, 2017",T20,1082628.0,IPL
Supergiant,968721.0,Guj Lions,968725.0,Supergiant,968721.0,5 wickets,Pune,545380.0,"May 1, 2017",T20,1082629.0,IPL
Daredevils,335975.0,Sunrisers,628333.0,Daredevils,335975.0,6 wickets,Delhi,58040.0,"May 2, 2017",T20,1082630.0,IPL
KKR,335971.0,Supergiant,968721.0,Supergiant,968721.0,4 wickets,Kolkata,57980.0,"May 3, 2017",T20,1082631.0,IPL
Daredevils,335975.0,Guj Lions,968725.0,Daredevils,335975.0,7 wickets,Delhi,58040.0,"May 4, 2017",T20,1082632.0,IPL
RCB,335970.0,Kings XI,335973.0,Kings XI,335973.0,19 runs,Bengaluru,57897.0,"May 5, 2017",T20,1082633.0,IPL
Sunrisers,628333.0,Supergiant,968721.0,Supergiant,968721.0,12 runs,Hyderabad (Deccan),58142.0,"May 6, 2017",T20,1082634.0,IPL
Daredevils,335975.0,Mum Indians,335978.0,Mum Indians,335978.0,146 runs,Delhi,58040.0,"May 6, 2017",T20,1082635.0,IPL
RCB,335970.0,KKR,335971.0,KKR,335971.0,6 wickets,Bengaluru,57897.0,"May 7, 2017",T20,1082636.0,IPL
Kings XI,335973.0,Guj Lions,968725.0,Guj Lions,968725.0,6 wickets,Mohali,57991.0,"May 7, 2017",T20,1082637.0,IPL
Sunrisers,628333.0,Mum Indians,335978.0,Sunrisers,628333.0,7 wickets,Hyderabad (Deccan),58142.0,"May 8, 2017",T20,1082638.0,IPL
Kings XI,335973.0,KKR,335971.0,Kings XI,335973.0,14 runs,Mohali,57991.0,"May 9, 2017",T20,1082639.0,IPL
Guj Lions,968725.0,Daredevils,335975.0,Daredevils,335975.0,2 wickets,Kanpur,58204.0,"May 10, 2017",T20,1082640.0,IPL
Mum Indians,335978.0,Kings XI,335973.0,Kings XI,335973.0,7 runs,Mumbai,58324.0,"May 11, 2017",T20,1082641.0,IPL
Daredevils,335975.0,Supergiant,968721.0,Daredevils,335975.0,7 runs,Delhi,58040.0,"May 12, 2017",T20,1082642.0,IPL
Guj Lions,968725.0,Sunrisers,628333.0,Sunrisers,628333.0,8 wickets,Kanpur,58204.0,"May 13, 2017",T20,1082643.0,IPL
KKR,335971.0,Mum Indians,335978.0,Mum Indians,335978.0,9 runs,Kolkata,57980.0,"May 13, 2017",T20,1082644.0,IPL
Supergiant,968721.0,Kings XI,335973.0,Supergiant,968721.0,9 wickets,Pune,545380.0,"May 14, 2017",T20,1082645.0,IPL
Daredevils,335975.0,RCB,335970.0,RCB,335970.0,10 runs,Delhi,58040.0,"May 14, 2017",T20,1082646.0,IPL
Mum Indians,335978.0,Supergiant,968721.0,Supergiant,968721.0,20 runs,Mumbai,58324.0,"May 16, 2017",T20,1082647.0,IPL
KKR,335971.0,Sunrisers,628333.0,KKR,335971.0,7 wickets,Bengaluru,57897.0,"May 17, 2017",T20,1082648.0,IPL
KKR,335971.0,Mum Indians,335978.0,Mum Indians,335978.0,6 wickets,Bengaluru,57897.0,"May 19, 2017",T20,1082649.0,IPL
Mum Indians,335978.0,Supergiant,968721.0,Mum Indians,335978.0,1 run,Hyderabad (Deccan),58142.0,"May 21, 2017",T20,1082650.0,IPL
Mum Indians,335978.0,Super Kings,335974.0,Super Kings,335974.0,1 wicket,Mumbai,58324.0,"Apr 7, 2018",T20,1136561.0,IPL
Kings XI,335973.0,Daredevils,335975.0,Kings XI,335973.0,6 wickets,Mohali,57991.0,"Apr 8, 2018",T20,1136562.0,IPL
KKR,335971.0,RCB,335970.0,KKR,335971.0,4 wickets,Kolkata,57980.0,"Apr 8, 2018",T20,1136563.0,IPL
Sunrisers,628333.0,Royals,335977.0,Sunrisers,628333.0,9 wickets,Hyderabad (Deccan),58142.0,"Apr 9, 2018",T20,1136564.0,IPL
Super Kings,335974.0,KKR,335971.0,Super Kings,335974.0,5 wickets,Chennai,58008.0,"Apr 10, 2018",T20,1136565.0,IPL
Royals,335977.0,Daredevils,335975.0,Royals,335977.0,10 runs,Jaipur,58162.0,"Apr 11, 2018",T20,1136566.0,IPL
Sunrisers,628333.0,Mum Indians,335978.0,Sunrisers,628333.0,1 wicket,Hyderabad (Deccan),58142.0,"Apr 12, 2018",T20,1136567.0,IPL
RCB,335970.0,Kings XI,335973.0,RCB,335970.0,4 wickets,Bengaluru,57897.0,"Apr 13, 2018",T20,1136568.0,IPL
Mum Indians,335978.0,Daredevils,335975.0,Daredevils,335975.0,7 wickets,Mumbai,58324.0,"Apr 14, 2018",T20,1136569.0,IPL
KKR,335971.0,Sunrisers,628333.0,Sunrisers,628333.0,5 wickets,Kolkata,57980.0,"Apr 14, 2018",T20,1136570.0,IPL
RCB,335970.0,Royals,335977.0,Royals,335977.0,19 runs,Bengaluru,57897.0,"Apr 15, 2018",T20,1136571.0,IPL
Kings XI,335973.0,Super Kings,335974.0,Kings XI,335973.0,4 runs,Mohali,57991.0,"Apr 15, 2018",T20,1136572.0,IPL
KKR,335971.0,Daredevils,335975.0,KKR,335971.0,71 runs,Kolkata,57980.0,"Apr 16, 2018",T20,1136573.0,IPL
Mum Indians,335978.0,RCB,335970.0,Mum Indians,335978.0,46 runs,Mumbai,58324.0,"Apr 17, 2018",T20,1136574.0,IPL
Royals,335977.0,KKR,335971.0,KKR,335971.0,7 wickets,Jaipur,58162.0,"Apr 18, 2018",T20,1136575.0,IPL
Kings XI,335973.0,Sunrisers,628333.0,Kings XI,335973.0,15 runs,Mohali,57991.0,"Apr 19, 2018",T20,1136576.0,IPL
Super Kings,335974.0,Royals,335977.0,Super Kings,335974.0,64 runs,Pune,545380.0,"Apr 20, 2018",T20,1136577.0,IPL
KKR,335971.0,Kings XI,335973.0,Kings XI,335973.0,9 wickets,Kolkata,57980.0,"Apr 21, 2018",T20,1136578.0,IPL
RCB,335970.0,Daredevils,335975.0,RCB,335970.0,6 wickets,Bengaluru,57897.0,"Apr 21, 2018",T20,1136579.0,IPL
Sunrisers,628333.0,Super Kings,335974.0,Super Kings,335974.0,4 runs,Hyderabad (Deccan),58142.0,"Apr 22, 2018",T20,1136580.0,IPL
Royals,335977.0,Mum Indians,335978.0,Royals,335977.0,3 wickets,Jaipur,58162.0,"Apr 22, 2018",T20,1136581.0,IPL
Daredevils,335975.0,Kings XI,335973.0,Kings XI,335973.0,4 runs,Delhi,58040.0,"Apr 23, 2018",T20,1136582.0,IPL
Mum Indians,335978.0,Sunrisers,628333.0,Sunrisers,628333.0,31 runs,Mumbai,58324.0,"Apr 24, 2018",T20,1136583.0,IPL
RCB,335970.0,Super Kings,335974.0,Super Kings,335974.0,5 wickets,Bengaluru,57897.0,"Apr 25, 2018",T20,1136584.0,IPL
Sunrisers,628333.0,Kings XI,335973.0,Sunrisers,628333.0,13 runs,Hyderabad (Deccan),58142.0,"Apr 26, 2018",T20,1136585.0,IPL
Daredevils,335975.0,KKR,335971.0,Daredevils,335975.0,55 runs,Delhi,58040.0,"Apr 27, 2018",T20,1136586.0,IPL
Super Kings,335974.0,Mum Indians,335978.0,Mum Indians,335978.0,8 wickets,Pune,545380.0,"Apr 28, 2018",T20,1136587.0,IPL
Royals,335977.0,Sunrisers,628333.0,Sunrisers,628333.0,11 runs,Jaipur,58162.0,"Apr 29, 2018",T20,1136588.0,IPL
RCB,335970.0,KKR,335971.0,KKR,335971.0,6 wickets,Bengaluru,57897.0,"Apr 29, 2018",T20,1136589.0,IPL
Super Kings,335974.0,Daredevils,335975.0,Super Kings,335974.0,13 runs,Pune,545380.0,"Apr 30, 2018",T20,1136590.0,IPL
RCB,335970.0,Mum Indians,335978.0,RCB,335970.0,14 runs,Bengaluru,57897.0,"May 1, 2018",T20,1136591.0,IPL
Daredevils,335975.0,Royals,335977.0,Daredevils,335975.0,4 runs,Delhi,58040.0,"May 2, 2018",T20,1136592.0,IPL
KKR,335971.0,Super Kings,335974.0,KKR,335971.0,6 wickets,Kolkata,57980.0,"May 3, 2018",T20,1136593.0,IPL
Kings XI,335973.0,Mum Indians,335978.0,Mum Indians,335978.0,6 wickets,Indore,58150.0,"May 4, 2018",T20,1136594.0,IPL
Super Kings,335974.0,RCB,335970.0,Super Kings,335974.0,6 wickets,Pune,545380.0,"May 5, 2018",T20,1136595.0,IPL
Sunrisers,628333.0,Daredevils,335975.0,Sunrisers,628333.0,7 wickets,Hyderabad (Deccan),58142.0,"May 5, 2018",T20,1136596.0,IPL
Mum Indians,335978.0,KKR,335971.0,Mum Indians,335978.0,13 runs,Mumbai,58324.0,"May 6, 2018",T20,1136597.0,IPL
Kings XI,335973.0,Royals,335977.0,Kings XI,335973.0,6 wickets,Indore,58150.0,"May 6, 2018",T20,1136598.0,IPL
Sunrisers,628333.0,RCB,335970.0,Sunrisers,628333.0,5 runs,Hyderabad (Deccan),58142.0,"May 7, 2018",T20,1136599.0,IPL
Royals,335977.0,Kings XI,335973.0,Royals,335977.0,15 runs,Jaipur,58162.0,"May 8, 2018",T20,1136600.0,IPL
KKR,335971.0,Mum Indians,335978.0,Mum Indians,335978.0,102 runs,Kolkata,57980.0,"May 9, 2018",T20,1136601.0,IPL
Daredevils,335975.0,Sunrisers,628333.0,Sunrisers,628333.0,9 wickets,Delhi,58040.0,"May 10, 2018",T20,1136602.0,IPL
Royals,335977.0,Super Kings,335974.0,Royals,335977.0,4 wickets,Jaipur,58162.0,"May 11, 2018",T20,1136603.0,IPL
Kings XI,335973.0,KKR,335971.0,KKR,335971.0,31 runs,Indore,58150.0,"May 12, 2018",T20,1136604.0,IPL
Daredevils,335975.0,RCB,335970.0,RCB,335970.0,5 wickets,Delhi,58040.0,"May 12, 2018",T20,1136605.0,IPL
Super Kings,335974.0,Sunrisers,628333.0,Super Kings,335974.0,8 wickets,Pune,545380.0,"May 13, 2018",T20,1136606.0,IPL
Mum Indians,335978.0,Royals,335977.0,Royals,335977.0,7 wickets,Mumbai,58324.0,"May 13, 2018",T20,1136607.0,IPL
Kings XI,335973.0,RCB,335970.0,RCB,335970.0,10 wickets,Indore,58150.0,"May 14, 2018",T20,1136608.0,IPL
KKR,335971.0,Royals,335977.0,KKR,335971.0,6 wickets,Kolkata,57980.0,"May 15, 2018",T20,1136609.0,IPL
Mum Indians,335978.0,Kings XI,335973.0,Mum Indians,335978.0,3 runs,Mumbai,58324.0,"May 16, 2018",T20,1136610.0,IPL
RCB,335970.0,Sunrisers,628333.0,RCB,335970.0,14 runs,Bengaluru,57897.0,"May 17, 2018",T20,1136611.0,IPL
Daredevils,335975.0,Super Kings,335974.0,Daredevils,335975.0,34 runs,Delhi,58040.0,"May 18, 2018",T20,1136612.0,IPL
Royals,335977.0,RCB,335970.0,Royals,335977.0,30 runs,Jaipur,58162.0,"May 19, 2018",T20,1136613.0,IPL
Sunrisers,628333.0,KKR,335971.0,KKR,335971.0,5 wickets,Hyderabad (Deccan),58142.0,"May 19, 2018",T20,1136614.0,IPL
Daredevils,335975.0,Mum Indians,335978.0,Daredevils,335975.0,11 runs,Delhi,58040.0,"May 20, 2018",T20,1136615.0,IPL
Super Kings,335974.0,Kings XI,335973.0,Super Kings,335974.0,5 wickets,Pune,545380.0,"May 20, 2018",T20,1136616.0,IPL
Super Kings,335974.0,Sunrisers,628333.0,Super Kings,335974.0,2 wickets,Mumbai,58324.0,"May 22, 2018",T20,1136617.0,IPL
KKR,335971.0,Royals,335977.0,KKR,335971.0,25 runs,Kolkata,57980.0,"May 23, 2018",T20,1136618.0,IPL
KKR,335971.0,Sunrisers,628333.0,Sunrisers,628333.0,14 runs,Kolkata,57980.0,"May 25, 2018",T20,1136619.0,IPL
Super Kings,335974.0,Sunrisers,628333.0,Super Kings,335974.0,8 wickets,Mumbai,58324.0,"May 27, 2018",T20,1136620.0,IPL
Super Kings,335974.0,RCB,335970.0,Super Kings,335974.0,7 wickets,Chennai,58008.0,"Mar 23, 2019",T20,1175356.0,IPL
KKR,335971.0,Sunrisers,628333.0,KKR,335971.0,6 wickets,Kolkata,57980.0,"Mar 24, 2019",T20,1175357.0,IPL
Mum Indians,335978.0,Capitals,335975.0,Capitals,335975.0,37 runs,Mumbai,58324.0,"Mar 24, 2019",T20,1175358.0,IPL
Royals,335977.0,Kings XI,335973.0,Kings XI,335973.0,14 runs,Jaipur,58162.0,"Mar 25, 2019",T20,1175359.0,IPL
Capitals,335975.0,Super Kings,335974.0,Super Kings,335974.0,6 wickets,Delhi,58040.0,"Mar 26, 2019",T20,1175360.0,IPL
KKR,335971.0,Kings XI,335973.0,KKR,335971.0,28 runs,Kolkata,57980.0,"Mar 27, 2019",T20,1175361.0,IPL
RCB,335970.0,Mum Indians,335978.0,Mum Indians,335978.0,6 runs,Bengaluru,57897.0,"Mar 28, 2019",T20,1175362.0,IPL
Sunrisers,628333.0,Royals,335977.0,Sunrisers,628333.0,5 wickets,Hyderabad (Deccan),58142.0,"Mar 29, 2019",T20,1175363.0,IPL
Kings XI,335973.0,Mum Indians,335978.0,Kings XI,335973.0,8 wickets,Mohali,57991.0,"Mar 30, 2019",T20,1175364.0,IPL
Capitals,335975.0,KKR,335971.0,tied,,,Delhi,58040.0,"Mar 30, 2019",T20,1175365.0,IPL
Sunrisers,628333.0,RCB,335970.0,Sunrisers,628333.0,118 runs,Hyderabad (Deccan),58142.0,"Mar 31, 2019",T20,1175366.0,IPL
Super Kings,335974.0,Royals,335977.0,Super Kings,335974.0,8 runs,Chennai,58008.0,"Mar 31, 2019",T20,1175367.0,IPL
